model-1664982448,1664982457.978,0.67,0.2216,0.56,0.2409
model-1664982448,1664982458.032,0.67,0.2145,0.62,0.2384
model-1664982448,1664982458.087,0.56,0.2525,0.52,0.2414
model-1664982448,1664982458.142,0.61,0.233,0.53,0.2485
model-1664982448,1664982458.197,0.69,0.2299,0.66,0.2226
model-1664982448,1664982458.25,0.62,0.2343,0.62,0.2237
model-1664982448,1664982458.306,0.58,0.2433,0.57,0.2419
model-1664982448,1664982458.346,0.63,0.2329,0.55,0.2492
model-1664982448,1664982458.403,0.61,0.232,0.63,0.2379
model-1664982448,1664982458.475,0.59,0.2282,0.64,0.2253
model-1664982448,1664982458.519,0.64,0.2314,0.65,0.2314
model-1664982448,1664982458.587,0.6,0.2137,0.51,0.2886
model-1664982448,1664982458.634,0.48,0.2885,0.54,0.2513
model-1664982448,1664982458.696,0.6,0.248,0.65,0.2368
model-1664982448,1664982458.734,0.65,0.2281,0.63,0.2342
model-1664982448,1664982458.805,0.61,0.2286,0.63,0.2314
model-1664982448,1664982458.846,0.64,0.2236,0.63,0.2228
model-1664982448,1664982458.903,0.55,0.2502,0.6,0.2293
model-1664982448,1664982458.965,0.58,0.2471,0.61,0.2372
model-1664982448,1664982459.019,0.64,0.2272,0.53,0.2504
